UnderlyingSymbol,UnderlyingPrice,OptionSymbol,Expiration,Strike,Ask,IV
ACOR,3.23,ACOR190920C00001000,43728,1,2.45,1.0002
ACOR,3.23,ACOR190920C00002000,43728,2,1.55,1.0002
ACOR,3.23,ACOR190920C00003000,43728,3,0.5,1.0002
ACOR,3.23,ACOR190920C00004000,43728,4,0.1,1.6317
ACOR,3.23,ACOR190920C00005000,43728,5,0.1,1.91
ACOR,3.23,ACOR190920C00006000,43728,6,0.3,2.1948
ACOR,3.23,ACOR190920C00007000,43728,7,0.5,2.4861
ACOR,3.23,ACOR190920C00008000,43728,8,0.15,2.4861
ACOR,3.23,ACOR190920C00009000,43728,9,0.35,2.4861
ACOR,3.23,ACOR190920C00010000,43728,10,0.5,2.4861
ACOR,3.23,ACOR190920C00011000,43728,11,0.5,2.4861
ACOR,3.23,ACOR190920C00012000,43728,12,0.35,2.4861
ACOR,3.23,ACOR190920C00013000,43728,13,0.35,2.4861
ACOR,3.23,ACOR191018C00001000,43756,1,2.55,1.1159
ACOR,3.23,ACOR191018C00002000,43756,2,1.5,1.1159
ACOR,3.23,ACOR191018C00003000,43756,3,0.65,0.9918
ACOR,3.23,ACOR191018C00004000,43756,4,0.3,1.0537
ACOR,3.23,ACOR191018C00005000,43756,5,0.15,1.0431
ACOR,3.23,ACOR191018C00006000,43756,6,0.1,1.0431
ACOR,3.23,ACOR191018C00007000,43756,7,0.3,1.0431
ACOR,3.23,ACOR191018C00008000,43756,8,0.5,1.0431
ACOR,3.23,ACOR191018C00009000,43756,9,0.5,1.0431
ACOR,3.23,ACOR191018C00010000,43756,10,0.5,1.0431
ACOR,3.23,ACOR191018C00011000,43756,11,0.5,1.0431
ACOR,3.23,ACOR191018C00012000,43756,12,0.25,1.0431
ACOR,3.23,ACOR191018C00013000,43756,13,0.5,1.0431
ACOR,3.23,ACOR191018C00014000,43756,14,0.5,1.0431
ACOR,3.23,ACOR191018C00015000,43756,15,0.4,1.0431
ACOR,3.23,ACOR191018C00016000,43756,16,0.5,1.0431
ACOR,3.23,ACOR191018C00017000,43756,17,0.4,1.0431
ACOR,3.23,ACOR191018C00018000,43756,18,0.5,1.0431
ACOR,3.23,ACOR191018C00019000,43756,19,0.5,1.0431
ACOR,3.23,ACOR191018C00020000,43756,20,0.5,1.0431
ACOR,3.23,ACOR191018C00021000,43756,21,0.5,1.0431
ACOR,3.23,ACOR191018C00022000,43756,22,0.35,1.0431
ACOR,3.23,ACOR191018C00023000,43756,23,0.4,1.0431
ACOR,3.23,ACOR191018C00024000,43756,24,0.5,1.0431
ACOR,3.23,ACOR191018C00025000,43756,25,0.35,1.0431
ACOR,3.23,ACOR191018C00026000,43756,26,0.35,1.0431
ACOR,3.23,ACOR191018C00027000,43756,27,0.3,1.0431
ACOR,3.23,ACOR200117C00001000,43847,1,2.5,1.0882
ACOR,3.23,ACOR200117C00002000,43847,2,1.55,1.0882
ACOR,3.23,ACOR200117C00003000,43847,3,0.95,0.9832
ACOR,3.23,ACOR200117C00004000,43847,4,0.55,0.9347
ACOR,3.23,ACOR200117C00005000,43847,5,0.35,0.9331
ACOR,3.23,ACOR200117C00006000,43847,6,0.2,0.8696
ACOR,3.23,ACOR200117C00007000,43847,7,0.15,0.8696
ACOR,3.23,ACOR200117C00008000,43847,8,0.1,0.8696
ACOR,3.23,ACOR200117C00009000,43847,9,0.1,0.8696
ACOR,3.23,ACOR200117C00010000,43847,10,0.5,0.8696
ACOR,3.23,ACOR200117C00011000,43847,11,0.5,0.8696
ACOR,3.23,ACOR200117C00012000,43847,12,0.5,0.8696
ACOR,3.23,ACOR200117C00013000,43847,13,0.5,0.8696
ACOR,3.23,ACOR200117C00014000,43847,14,0.5,0.8696
ACOR,3.23,ACOR200117C00015000,43847,15,0.5,0.8696
ACOR,3.23,ACOR200117C00016000,43847,16,0.45,0.8696
ACOR,3.23,ACOR200117C00017000,43847,17,0.45,0.8696
ACOR,3.23,ACOR200117C00018000,43847,18,0.45,0.8696
ACOR,3.23,ACOR200117C00019000,43847,19,0.45,0.8696
ACOR,3.23,ACOR200117C00020000,43847,20,0.45,0.8696
ACOR,3.23,ACOR200417C00001000,43938,1,2.8,1.2052
ACOR,3.23,ACOR200417C00002000,43938,2,1.9,1.2052
ACOR,3.23,ACOR200417C00003000,43938,3,1.15,0.9757
ACOR,3.23,ACOR200417C00004000,43938,4,0.8,0.9178
ACOR,3.23,ACOR200417C00005000,43938,5,0.55,0.9281
ACOR,3.23,ACOR200417C00006000,43938,6,0.4,0.8887
